plot,lat,long,Bauacu,Casgui,Eryhav,Forrha,Leuleu,Pisfra,ALL
ERF2,12.72183,-61.432225,0,0,0,0,0,0,0
ERF4, 12. 74174,-61.42309,0,0,0,0,0,0,0
ERF5,12.94001,-61.404644,0,0,0,0,0,0,0
ERF7a,12.62049,-61.426,0,0,0,0,0,0,0
ERF8,12.93801,-61.404504,0,0,0,0,0,0,0
Mstdec13,12.44681,-61.374271,0,0,0,0,0,1,1
Mstdec15,12.43594,-61.381583,0,0,0,0,0,1,1
mstdec19,12.11315,-61.4214,0,0,0,0,0,0,0
MSTDEC1,12.43749,-61.4464,0,0,0,0,0,0,0
MSTDEC10a,12.35035,-61.44713,0,1,0,0,1,0,1
MSTDEC12,12.134609,-61.393626,0,0,0,0,0,0,0
MSTDEC14,12.234,-61.411698,0,0,0,0,0,0,0
MSTDEC17a,12.5958,-61.441769,0,0,0,0,0,0,0
MSTDEC18a,12.83661,-61.443135,0,0,0,0,0,0,0
MSTDEC19,12.11315,-61.4214,0,0,0,0,1,0,1
MSTDEC4,12.11957,-61.42474,0,0,0,0,0,0,0
MSTDEC5,12.4435,-61.441361,0,0,0,0,0,0,0
MSTDEC8,12.51835,-61.434909,0,0,0,0,0,0,0
MXER12,12.73583,-61.431148,0,1,0,0,0,0,1
MXERF13,12.53987,-61.421026,0,0,0,0,0,0,0
MXERF14,12.83559,-61.42178,0,0,0,0,0,0,0
MXERF15a,12.51338,-61.421353,0,0,0,0,0,0,0
MXERF2a,12.5162,-61.413621,0,0,0,0,0,0,0
MXERF4a,12.45672,-61.422271,0,0,0,0,0,0,0
MXERF5a,12.5412,-61.421558,0,0,0,0,0,0,0
MXERF6,12.7582,-61.432635,0,0,0,0,0,0,0
MXERF7,12.55372,-61.421677,0,0,0,0,0,0,0
MXERF8,12.4177,-61.391286,0,0,0,0,0,0,0
OSC1,12.25538,-61.382861,0,0,0,0,0,0,0
OSC2,12.04906,-61.464214,0,0,0,0,0,0,0
plot629,,,0,0,0,0,0,1,1
Plot699,,,0,0,0,0,1,0,1
SC3,12.02057,-61.43121,0,0,0,0,0,0,0
SC4,12.31555,-61.445842,0,0,0,0,0,0,0
SC5,12.02579,-61.43235,0,0,1,0,1,0,1
GW1,12.0188,-61.7672,0,0,0,1,0,1,1
GW2,12.0321,-61.7477,1,0,0,0,0,1,1
GW3,12.0243,-61.7449,0,0,0,1,1,1,1
GW4,12.0085,-61.7404,0,0,1,1,1,1,1
GW5,12.008,-61.7449,0,0,1,0,1,1,1
GW7,12.1087,-61.7447,0,1,0,0,1,1,1
GW8,12.0055,-61.7442,1,0,0,0,1,1,1
GW10,12.0943,-61.7358,0,0,1,1,1,0,1
GW11,12.0976,-61.74,0,0,0,0,0,0,0
GW12,12.0972,-61.738,0,1,0,0,0,1,1
GW13,12.0105,-61.7466,0,0,0,0,1,1,1
GW14,12.0146,-61.7472,0,0,0,0,1,1,1
GW15,12.0167,-61.6865,0,0,0,0,1,1,1
GW16,12.2177,-61.618,0,0,0,0,0,1,1
